folder,file,min,max,mean,stdev,n_sequences
denovo,SingleTipQuercus20231006-denovo-min4tm90rm3-2025.loci,35,170,86.93,7.20,2283624
ref_alba,SingleTipQuercus20231006-refAlba-min4tm90rm3-2025.loci,35,1478,164.82,85.09,2007946
