"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_alba_raxml.bt075",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt076",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt077",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt078",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt079",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt080",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt081",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt082",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_alba_raxml.bt083",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt084",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt085",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt086",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt087",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt088",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt089",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt090",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt091",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt092",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt093",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt094",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt095",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt096",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt097",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"refRAD.ref_alba_raxml.bt098",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt099",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_alba_raxml.bt100",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt001",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt002",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt003",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt004",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt005",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt006",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt007",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt008",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt009",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt010",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt011",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_glauca_raxml.bt012",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"refRAD.ref_glauca_raxml.bt013",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
